date,vix_open,vix_high,vix_low,vix_close,daily_spread,percent_change
8/7/2019,20.7,23.67,18.94,19.49,4.73,-0.058454106
8/8/2019,19.36,19.89,16.82,16.91,3.07,-0.126549587
8/9/2019,18.14,19.44,17.31,17.97,2.13,-0.009371555
8/12/2019,17.87,21.26,17.77,21.09,3.49,0.180190263
8/13/2019,21.28,21.64,17.52,17.52,4.12,-0.176691729
8/14/2019,17.81,22.71,17.75,22.1,4.96,0.240875912
8/15/2019,21.58,24.1,20.78,21.18,3.32,-0.018535681
8/16/2019,20.48,20.5,18.41,18.47,2.09,-0.098144531
8/19/2019,17.93,18.22,16.52,16.88,1.7,-0.058561071
8/20/2019,16.78,17.7,16.45,17.5,1.25,0.042908224
8/21/2019,17.01,17.04,15.51,15.8,1.53,-0.071134627
8/22/2019,16.12,17.68,15.63,16.68,2.05,0.034739454
8/23/2019,16.15,21.07,16.04,19.87,5.03,0.230340557
8/26/2019,20.34,21.33,19.06,19.32,2.27,-0.050147493
8/27/2019,20.18,21.04,18.49,20.31,2.55,0.006442022
8/28/2019,20.55,21.64,19.1,19.35,2.54,-0.058394161
8/29/2019,19.02,19.2,17.6,17.88,1.6,-0.059936909
8/30/2019,17.94,19.18,17.09,18.98,2.09,0.057971014
9/3/2019,20.96,21.15,19.41,19.66,1.74,-0.062022901
9/4/2019,18.23,18.83,17.26,17.33,1.57,-0.049369172
9/5/2019,16.92,17.05,15.45,16.27,1.6,-0.038416076
9/6/2019,15.92,16.06,14.91,15,1.15,-0.057788945
9/9/2019,15.26,16.13,14.95,15.27,1.18,0.000655308
9/10/2019,15.53,16.52,15.11,15.2,1.41,-0.021249195
9/11/2019,15.33,15.52,14.55,14.61,0.97,-0.046966732
9/12/2019,14.69,14.94,13.85,14.22,1.09,-0.031994554
9/13/2019,14.16,14.31,13.51,13.74,0.8,-0.029661017
9/16/2019,14.89,15.29,14.5,14.67,0.79,-0.014775017
9/17/2019,14.92,15.03,14.4,14.44,0.63,-0.032171582
9/18/2019,14.61,15.8,13.8,13.95,2,-0.045174538
9/19/2019,14.66,14.66,13.31,14.05,1.35,-0.041609823
9/20/2019,13.94,15.84,13.35,15.32,2.49,0.098995696
9/23/2019,15.35,16,14.71,14.91,1.29,-0.028664495
9/24/2019,14.77,17.62,14.33,17.05,3.29,0.15436696
9/25/2019,17.05,18.45,15.69,15.96,2.76,-0.063929619
9/26/2019,16.23,17.09,15.35,16.07,1.74,-0.009858287
9/27/2019,15.77,18.69,15.15,17.22,3.54,0.091946734
9/30/2019,17.23,17.35,16.2,16.24,1.15,-0.057457922
10/1/2019,16.02,18.62,15.79,18.56,2.83,0.15855181
10/2/2019,18.75,21.46,18.75,20.56,2.71,0.096533333
10/3/2019,20.11,21.44,19.03,19.12,2.41,-0.049229239
10/4/2019,19.42,19.97,16.97,17.04,3,-0.122554068
10/7/2019,18.27,18.52,16.44,17.86,2.08,-0.02244116
10/8/2019,17.61,20.38,17.42,20.28,2.96,0.151618399
10/9/2019,19.94,20,17.77,18.64,2.23,-0.065195587
10/10/2019,19.28,19.8,17.56,17.57,2.24,-0.088692946
10/11/2019,17.35,17.44,15.11,15.58,2.33,-0.102017291
10/14/2019,15.66,16.5,14.51,14.57,1.99,-0.069604087
10/15/2019,13.94,14.43,13.39,13.54,1.04,-0.028694405
10/16/2019,13.94,14.26,13.6,13.68,0.66,-0.018651363
10/17/2019,13.79,14.18,13.31,13.79,0.87,0
10/18/2019,14.2,15.16,13.78,14.25,1.38,0.003521127
10/21/2019,14.24,14.63,14,14,0.63,-0.016853933
10/22/2019,13.99,14.61,13.7,14.46,0.91,0.033595425
10/23/2019,14.83,15.12,14.01,14.01,1.11,-0.055293324
10/24/2019,13.98,14.34,13.4,13.71,0.94,-0.019313305
10/25/2019,13.53,13.79,12.62,12.65,1.17,-0.06504065
10/28/2019,13.01,13.14,12.66,13.11,0.48,0.007686395
10/29/2019,13.16,13.52,13.07,13.2,0.45,0.003039514
10/30/2019,13.23,13.77,12.27,12.33,1.5,-0.068027211
10/31/2019,12.21,13.95,12.19,13.22,1.76,0.082719083
11/1/2019,12.99,13.12,12.25,12.3,0.87,-0.053117783
11/4/2019,12.68,13.13,12.44,12.83,0.69,0.011829653
11/5/2019,12.85,13.28,12.25,13.1,1.03,0.019455253
11/6/2019,13.18,13.39,12.6,12.62,0.79,-0.042488619
11/7/2019,12.59,12.89,12.26,12.73,0.63,0.011119936
11/8/2019,12.98,13.05,12,12.07,1.05,-0.070107858
11/11/2019,13.15,13.49,12.66,12.69,0.83,-0.034980989
11/12/2019,12.64,13.1,12.36,12.68,0.74,0.003164557
11/13/2019,12.91,13.9,12.88,13,1.02,0.00697134
11/14/2019,13.16,13.81,12.93,13.05,0.88,-0.008358663
11/15/2019,12.95,12.97,11.92,12.05,1.05,-0.069498069
11/18/2019,12.39,13.1,12.32,12.46,0.78,0.005649718
11/19/2019,12.33,13.01,12.16,12.86,0.85,0.04298459
11/20/2019,13.42,14.17,12.61,12.78,1.56,-0.047690015
11/21/2019,13.35,13.86,12.49,13.13,1.37,-0.016479401
11/22/2019,12.82,13.25,12.33,12.34,0.92,-0.037441498
11/25/2019,12.51,12.59,11.73,11.87,0.86,-0.051159073
11/26/2019,11.88,12.04,11.42,11.54,0.62,-0.028619529
11/27/2019,11.55,11.79,11.44,11.75,0.35,0.017316017
11/29/2019,12.5,12.83,12.12,12.62,0.71,0.0096
12/2/2019,12.69,15.27,12.55,14.91,2.72,0.174940898
